t=2026-05-15T15:39:24+0200 lvl=info msg="command usage" msg="Flag --domain has been deprecated, use --url instead"
t=2026-05-15T15:39:24+0200 lvl=info msg="no configuration paths supplied"
t=2026-05-15T15:39:24+0200 lvl=warn msg="ngrok config file found at both XDG and legacy locations, using XDG location" xdg_path=C:\\Users\\PC\\AppData\\Local\\ngrok\\ngrok.yml legacy_path=C:\\Users\\PC\\.ngrok2\\ngrok.yml
t=2026-05-15T15:39:24+0200 lvl=info msg="using configuration at default config path" path=C:\\Users\\PC\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-05-15T15:39:24+0200 lvl=info msg="open config file" path=C:\\Users\\PC\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-15T15:39:24+0200 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-15T15:39:25+0200 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-15T15:39:25+0200 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-15T15:39:25+0200 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-15T15:40:56+0200 lvl=info msg="join connections" obj=join id=faa6b85b005a l=127.0.0.1:8000 r=81.221.235.143:63519
t=2026-05-15T15:40:56+0200 lvl=info msg="join connections" obj=join id=92737f736640 l=127.0.0.1:8000 r=81.221.235.143:63519
t=2026-05-15T15:40:56+0200 lvl=info msg="join connections" obj=join id=a7cec0092746 l=127.0.0.1:8000 r=81.221.235.143:63519
t=2026-05-15T15:40:56+0200 lvl=info msg="join connections" obj=join id=29483e4d1839 l=127.0.0.1:8000 r=81.221.235.143:63519
t=2026-05-15T15:40:56+0200 lvl=info msg="join connections" obj=join id=6c81aafe7ac0 l=127.0.0.1:8000 r=81.221.235.143:63975
t=2026-05-15T15:40:57+0200 lvl=info msg="join connections" obj=join id=99afdbd12c95 l=127.0.0.1:8000 r=81.221.235.143:63286
t=2026-05-15T15:41:00+0200 lvl=info msg="join connections" obj=join id=09ed86cdb71d l=127.0.0.1:8000 r=81.221.235.143:62015
t=2026-05-15T15:41:00+0200 lvl=info msg="join connections" obj=join id=6e328ededef9 l=127.0.0.1:8000 r=81.221.235.143:64586
t=2026-05-15T15:41:01+0200 lvl=info msg="join connections" obj=join id=2c1906a4ebcd l=127.0.0.1:8000 r=81.221.235.143:62995
t=2026-05-15T15:41:04+0200 lvl=info msg="join connections" obj=join id=52beae7248af l=127.0.0.1:8000 r=81.221.235.143:63519
